id,station,year,wood,hsba,hstot,hspayn,hspa,cancov,moisture,decrate,bg,lap,per,po,ap,insect
43,3,one,insect,0.877044412,4,yes,1,66.48409091,0.343788835,0,260.6586457,1.579765749,0,5.284134191,372.6617404,0
44,4,one,insect,0,0,no,0,65.41363636,0.376671277,0.013407707,85.6515668,0.703348256,2.678849751,0.447019227,47.49909011,0
45,5,one,insect,0.171526249,3,yes,1,64.60136364,0.359687187,0,97.89741938,1.04088588,2.02872574,1.398780886,121.8920605,0
46,6,one,insect,0.779328077,7,yes,1,67.03681818,0.482238011,0.013740046,196.461418,1.015383657,0,5.833623292,181.0351999,0
47,7,one,insect,0.039759609,2,yes,1,68.20727273,0.327490775,0.001521753,103.2240133,0.690216576,0,2.644975629,114.409619,1
48,8,one,insect,1.057711831,8,yes,1,67.61227273,0.383752244,0.033571626,165.8800344,1.080892041,4.341218963,5.283239258,203.2450689,0
49,9,one,insect,0.645138527,3,yes,1,65.1885,0.54266113,0,206.4209656,1.190477226,0.364238859,4.090740518,249.4190759,1
50,10,one,insect,0,0,no,0,69.44727273,0.408027879,0,160.1857087,0.704826035,0,2.32951161,175.7229249,0
51,11,one,insect,0,0,no,0,69.59318182,0.513557988,0,137.1607919,1.849751833,0,6.138795577,177.4605,0
52,12,one,insect,0,0,no,0,68.80863636,0.48857505,0.017684811,557.5893784,3.133108005,0,8.42963328,179.5089647,0
53,13,one,insect,0.378264874,2,yes,1,67.59681818,0.637509355,0.037257075,496.0747545,2.50904748,0,7.302208982,271.0602706,0
54,14,one,insect,0,0,no,0,68.85863636,0.42476018,0,234.2482446,1.461800764,1.378601729,6.099865975,311.198032,1
55,15,one,insect,0,0,no,0,68.14590909,0.608727383,0.026726688,595.5818699,2.258104433,0,6.108666153,394.0811808,0
56,16,one,insect,0.327749554,6,yes,1,66.12136364,0.612429444,0.050645199,329.4642687,2.219416594,1.183776293,2.902358472,204.2926036,1
57,17,one,insect,2.25307521,4,yes,1,64.36181818,0.620969023,0.020012768,315.8961833,1.519210345,0.09529505,1.349112083,650.3897269,1
58,18,one,insect,3.583270296,4,yes,1,59.46090909,0.611422139,0,435.0776157,0.854005852,1.10965792,2.241360671,231.4641395,1
59,19,one,insect,4.79472801,6,yes,1,66.61954545,0.632568689,0.027357851,413.6198455,0.729237374,0,2.422201139,255.9005339,0
60,20,one,insect,2.247093156,4,yes,1,61.34227273,0.634860721,0,402.9348532,0.467220018,1.503544129,2.630656695,438.0162967,0
61,21,one,insect,1.190771264,6,yes,1,66.48727273,0.411250844,0,639.7359509,2.09348702,0,8.427438562,681.1969654,0
62,22,one,insect,2.879873388,11,yes,1,68.28136364,0.358901088,0,361.074726,2.431595696,0.654359346,3.793303014,742.4329118,0
63,23,one,insect,7.153976696,9,yes,1,69.37681818,0.493745343,0,801.1691699,4.729597232,0.336709178,2.917035379,490.3473136,0
64,24,one,insect,8.831770859,5,yes,1,68.95727273,0.538180693,0,738.6779581,3.885008113,0,7.118747637,275.8568404,0
65,25,one,insect,1.116145118,8,yes,1,65.09363636,0.51733253,0,400.9676987,2.951977374,0,1.800158511,379.088423,0
66,26,one,insect,1.403387029,4,yes,1,64.83636364,0.577126721,0,361.5712854,2.923580961,0.444710235,9.612777835,383.2611668,1
67,27,one,insect,1.132637046,10,yes,1,65.72090909,0.476454294,0,409.3003537,2.354909474,1.480249783,4.767757626,321.8185962,1
68,28,one,insect,0.559981297,5,yes,1,65.6335,0.447688933,0,130.1467124,1.484817905,0.173648759,2.348752678,361.2745098,0
69,29,one,insect,0.235277756,3,yes,1,67.52318182,0.439094733,0.003488923,252.0193904,2.557408327,2.954146563,5.548587008,300.4698771,0
70,30,one,insect,0.69888776,3,yes,1,68.06,0.45,0,208.1157665,0.974968364,0,3.589130354,286.06624,1
71,31,one,insect,1.576945823,3,yes,1,67.54,0.562482834,0.005741501,396.6478298,0.961156982,3.843567034,4.718983757,624.7537082,0
72,32,one,insect,0.367442406,1,yes,1,67.99409091,0.506123094,0,462.6334072,1.137148283,0,,748.2897941,0
73,33,one,insect,6.032632071,4,yes,1,64.99727273,0.508472821,0,443.7294136,2.574236848,1.063069229,10.60093345,558.0750498,0
74,34,one,insect,1.710999126,3,yes,1,68.22636364,0.441847727,0.004834056,105.6015728,1.090951971,0,7.762843982,238.6529548,0
75,35,one,insect,7.061308392,4,yes,1,67.13545455,0.36651702,0.000908229,398.2401292,2.018113095,0,7.204213776,334.6494786,1
76,36,one,insect,0,0,no,0,66.06181818,0.499411492,0.004175906,262.2579709,1.959742922,0,2.638902867,277.2421784,0
77,37,one,insect,5.527790468,1,yes,1,63.43954545,0.5034243,0,188.8360482,2.265698982,0,7.558159931,369.4539469,0
78,38,one,insect,0.340297539,4,yes,1,62.229,0.440310827,0.000439201,265.7994011,0.61676719,1.224011981,7.723722608,237.2135803,1
79,39,one,insect,1.03054571,2,yes,1,62.133,0.427274017,0.008099821,226.281456,2.866922277,0.518828608,6.470815864,382.7664106,0
80,40,one,insect,20.58009295,1,yes,1,63.02,0.583557036,0.038237031,669.0986363,4.052583603,0.770831074,10.29916191,292.3514577,1
81,1,one,oak,0,0,no,0,65.065,0.439762291,0.245603378,458.0123722,1.807054693,0.53576995,9.139507228,728.6152869,NA
82,2,one,oak,0.980488678,3,yes,1,66.35136364,0.197123467,0,67.8238458,0.684835953,0,1.417574487,579.5813043,NA
83,3,one,oak,0.877044412,4,yes,1,66.48409091,0.182548117,0,64.55029383,0.417900376,0,0.447914161,822.438069,NA
84,4,one,oak,0,0,no,0,65.41363636,0.213151927,0,142.0188562,0.302136706,0,8.642627426,237.2279763,NA
85,5,one,oak,0.171526249,3,yes,1,64.60136364,0.192629111,0,80.4129744,0.318389775,3.235796379,8.210566371,343.0020559,NA
86,6,one,oak,0.779328077,7,yes,1,67.03681818,0.186324276,0,103.06207,0.663279328,0,5.746750829,765.5630552,NA
87,7,one,oak,0.039759609,2,yes,1,68.20727273,0.302136554,0,221.0585613,1.82908943,2.318846227,7.26327938,319.3026218,NA
88,8,one,oak,1.057711831,8,yes,1,67.61227273,0.246799765,0,115.6176393,1.30745017,0,9.817550236,480.2497966,NA
89,9,one,oak,0.645138527,3,yes,1,65.1885,0.463581113,0,265.1255228,3.617543722,0,9.150395584,285.6809256,NA
90,10,one,oak,0,0,no,0,69.44727273,0.311635768,0,62.73261367,0.336341338,0,0.841535696,246.1916194,NA
91,11,one,oak,0,0,no,0,69.59318182,0.253029837,0,105.6646915,1.122498125,0,4.865454521,289.6551724,NA
92,12,one,oak,0,0,no,0,68.80863636,0.320330083,0,141.3453261,0.329932147,0,4.594513438,433.8280227,NA
93,13,one,oak,0.378264874,2,yes,1,67.59681818,0.541221269,0.053680718,408.5775969,1.378529601,0.044471024,10.30975196,241.5216586,NA
94,14,one,oak,0,0,no,0,68.85863636,0.417742981,0.000875354,317.897291,0.745131375,0,4.620093617,629.0139455,NA
95,15,one,oak,0,0,no,0,68.14590909,0.469104363,0.023983406,365.5771587,2.531057226,0,3.729903376,638.7099428,NA
96,16,one,oak,0.327749554,6,yes,1,66.12136364,0.43902566,0.059536723,795.5863355,3.759837401,0,12.85920836,230.6504629,NA
97,17,one,oak,2.25307521,4,yes,1,64.36181818,0.365137511,0.009646715,245.7541375,0.557700555,0,12.74039104,331.6703724,NA
98,18,one,oak,3.583270296,4,yes,1,59.46090909,0.509398335,0.026580312,458.3261816,1.964823438,0.489181259,14.0356878,330.6097324,NA
